adj_1,adj_2,verb_1,verb_2,negation,connector,polarity
?,?,?,sucks,?,and,neg
?,?,?,?,?,?,neg
like,impossible,like,?,?,as,pos
?,?,love,?,?,?,pos
?,?,?,?,?,?,neg
?,?,love,?,?,?,pos
fun,?,love,?,?,so,pos
awesome,?,?,?,?,so,pos
?,terrible,?,?,?,as,neg
?,terrible,?,?,?,as,neg
?,?,?,?,?,?,neg
better,stupid,better,hate,?,because,neg
?,hated,?,hated,?,?,neg
?,aching,?,aching,?,as,neg
?,depressing,?,depressing,?,as,neg
?,delayed,?,sucks,?,but,neg
like,?,like,?,?,?,pos
awesome,?,?,?,?,so,pos
?,?,liked,?,?,?,pos
awesome,?,?,?,yes,so,pos
like,impossible,like,bitch,?,that,pos
?,?,adore,?,?,so,pos
cool,stupid,cool,?,?,and,neg
awesome,?,?,?,?,so,pos
?,?,?,hate,?,so,neg
better,stupid,better,hate,?,because,neg
better,stupid,better,hate,?,because,neg
?,?,?,hate,?,?,neg
?,?,?,?,?,?,pos
?,stupid,?,?,?,?,neg
like,impossible,like,?,?,as,pos
?,?,?,suck,?,or,neg
right,?,right,?,?,because,pos
?,?,?,?,?,as,pos
?,stupid,?,hate,?,and,neg
?,boring,?,boring,?,as,neg
?,?,?,?,?,?,pos
?,?,?,sucked,?,?,neg
worth,?,love,?,?,or,pos
?,?,?,?,?,?,pos
?,?,?,sucks,?,?,neg
?,impossible,love,?,?,for,pos
?,depressing,?,depressing,?,as,neg
?,?,?,?,?,?,pos
well,impossible,well,?,?,as,pos
great,?,?,?,?,if,pos
awesome,?,?,?,?,so,pos
great,?,?,?,?,for,pos
?,?,love,?,?,?,pos
?,?,?,hate,?,that,neg
?,?,?,?,?,?,pos
?,?,love,?,?,?,pos
?,?,love,?,?,?,pos
?,horrible,?,?,?,or,neg
?,?,?,sucked,?,?,neg
?,?,?,sucked,?,so,neg
loved,?,loved,?,?,?,pos
?,stupid,?,?,?,as,neg
?,?,love,?,?,?,pos
?,?,love,?,?,?,pos
?,?,?,suck,?,and,neg
?,horrible,?,?,?,or,neg
?,?,love,?,?,?,pos
?,?,?,?,?,?,pos
?,?,love,?,?,?,pos
?,boring,?,boring,?,or,neg
?,?,?,hate,?,?,neg
?,?,?,slap,?,that,neg
awesome,?,?,?,?,that,pos
awesome,?,?,?,?,so,pos
worth,?,love,?,?,or,pos
?,horrible,?,?,?,or,neg
?,?,?,sucks,?,?,neg
beautiful,?,?,?,?,as,pos
?,?,?,suck,?,or,neg
?,stupid,?,hate,?,and,neg
?,?,love,?,?,?,pos
?,?,love,fall,?,as,pos
?,?,?,sucked,?,?,neg
like,?,like,?,?,or,pos
awesome,?,?,?,?,so,pos
awesome,?,?,?,?,that,pos
?,stupid,?,hate,?,and,neg
good,?,like,?,?,that,pos
cool,stupid,cool,?,?,and,neg
worth,?,love,?,?,or,pos
like,?,like,?,?,?,pos
great,?,?,?,?,that,pos
?,stupid,?,?,?,?,neg
like,impossible,like,bitch,?,that,pos
cool,stupid,cool,?,?,and,neg
right,?,right,?,?,because,pos
awesome,?,?,?,?,so,pos
?,depressing,?,depressing,?,as,neg
awesome,?,?,?,yes,so,pos
awesome,?,?,?,?,so,pos
?,?,?,suck,?,or,neg
great,?,love,?,?,because,pos
?,?,love,?,?,?,pos
?,?,?,suck,?,?,neg
awesome,?,?,?,yes,so,pos
?,?,love,?,?,as,pos
excellent,?,?,?,?,as,pos
?,?,love,?,?,that,pos
awesome,?,?,?,?,so,pos
?,?,?,?,?,?,neg
like,?,like,?,?,?,pos
?,impossible,love,?,?,for,pos
great,?,?,?,?,that,pos
?,?,?,?,?,?,pos
?,crazy,?,?,yes,?,neg
fun,?,love,?,?,so,pos
?,?,love,?,?,?,pos
beautiful,?,?,?,?,as,pos
?,?,?,sucked,yes,for,neg
?,?,love,?,?,?,pos
?,?,love,?,?,?,pos
?,?,?,?,?,?,neg
?,crazy,?,?,yes,?,neg
?,?,?,?,?,?,pos
awesome,?,?,?,?,so,pos
profound,?,love,?,?,or,pos
loved,?,loved,?,?,?,pos
beautiful,?,?,?,?,as,pos
?,?,love,?,?,?,pos
?,?,love,?,?,?,pos
like,impossible,like,?,?,as,pos
?,impossible,love,?,?,for,pos
awesome,?,?,?,?,that,pos
worth,?,love,?,?,or,pos
awesome,?,?,?,?,so,pos
fun,?,love,?,?,so,pos
?,?,?,sucks,?,and,neg
?,?,?,sucked,?,?,neg
great,?,?,?,?,that,pos
?,?,?,?,?,?,neg
?,?,?,sucks,?,that,neg
?,?,?,suck,?,?,neg
?,absurd,?,?,?,as,neg
?,?,?,?,?,so,pos
?,?,?,sucked,?,?,neg
?,?,love,?,?,?,pos
?,?,?,?,?,?,pos
?,impossible,?,?,?,?,pos
?,?,?,?,?,and,neg
?,?,?,hate,?,?,neg
?,?,?,?,?,?,pos
?,?,?,sucked,?,?,neg
?,impossible,love,?,?,for,pos
worth,?,love,?,?,or,pos
?,?,love,?,?,?,pos
?,?,?,?,?,and,neg
?,?,love,?,?,that,pos
loved,?,loved,?,?,?,pos
awesome,?,?,?,?,so,pos
awesome,?,?,?,?,so,pos
like,impossible,like,bitch,?,that,pos
?,?,?,sucks,?,and,neg
excellent,?,?,?,?,as,pos
?,depressing,?,depressing,?,as,neg
?,depressing,?,depressing,?,?,neg
?,?,?,?,?,as,pos
beautiful,?,?,?,?,as,pos
awesome,?,?,?,?,so,pos
awesome,?,?,?,yes,so,pos
great,?,?,?,?,that,pos
?,?,?,?,?,as,pos
?,?,?,?,?,as,pos
?,aching,?,aching,?,as,neg
good,?,like,?,?,that,pos
