adj_1,adj_2,verb_1,verb_2,polarity
?,?,?,sucks,neg
?,?,?,?,neg
like,impossible,like,?,pos
?,?,love,?,pos
?,?,?,?,neg
?,?,love,?,pos
fun,?,love,?,pos
awesome,?,?,?,pos
?,terrible,?,?,neg
?,terrible,?,?,neg
?,?,?,?,neg
better,stupid,better,hate,neg
?,hated,?,hated,neg
?,aching,?,aching,neg
?,depressing,?,depressing,neg
?,delayed,?,sucks,neg
like,?,like,?,pos
awesome,?,?,?,pos
?,?,liked,?,pos
awesome,?,?,?,pos
like,impossible,like,bitch,pos
?,?,adore,?,pos
cool,stupid,cool,?,neg
awesome,?,?,?,pos
?,?,?,hate,neg
better,stupid,better,hate,neg
better,stupid,better,hate,neg
?,?,?,hate,neg
?,?,?,?,pos
?,stupid,?,?,neg
like,impossible,like,?,pos
?,?,?,suck,neg
right,?,right,?,pos
?,?,?,?,pos
?,stupid,?,hate,neg
?,boring,?,boring,neg
?,?,?,?,pos
?,?,?,sucked,neg
worth,?,love,?,pos
?,?,?,?,pos
?,?,?,sucks,neg
?,impossible,love,?,pos
?,depressing,?,depressing,neg
?,?,?,?,pos
well,impossible,well,?,pos
great,?,?,?,pos
awesome,?,?,?,pos
great,?,?,?,pos
?,?,love,?,pos
?,?,?,hate,neg
?,?,?,?,pos
?,?,love,?,pos
?,?,love,?,pos
?,horrible,?,?,neg
?,?,?,sucked,neg
?,?,?,sucked,neg
loved,?,loved,?,pos
?,stupid,?,?,neg
?,?,love,?,pos
?,?,love,?,pos
?,?,?,suck,neg
?,horrible,?,?,neg
?,?,love,?,pos
?,?,?,?,pos
?,?,love,?,pos
?,boring,?,boring,neg
?,?,?,hate,neg
?,?,?,slap,neg
awesome,?,?,?,pos
awesome,?,?,?,pos
worth,?,love,?,pos
?,horrible,?,?,neg
?,?,?,sucks,neg
beautiful,?,?,?,pos
?,?,?,suck,neg
?,stupid,?,hate,neg
?,?,love,?,pos
?,?,love,fall,pos
?,?,?,sucked,neg
like,?,like,?,pos
awesome,?,?,?,pos
awesome,?,?,?,pos
?,stupid,?,hate,neg
good,?,like,?,pos
cool,stupid,cool,?,neg
worth,?,love,?,pos
like,?,like,?,pos
great,?,?,?,pos
?,stupid,?,?,neg
like,impossible,like,bitch,pos
cool,stupid,cool,?,neg
right,?,right,?,pos
awesome,?,?,?,pos
?,depressing,?,depressing,neg
awesome,?,?,?,pos
awesome,?,?,?,pos
?,?,?,suck,neg
great,?,love,?,pos
?,?,love,?,pos
?,?,?,suck,neg
awesome,?,?,?,pos
?,?,love,?,pos
excellent,?,?,?,pos
?,?,love,?,pos
awesome,?,?,?,pos
?,?,?,?,neg
like,?,like,?,pos
?,impossible,love,?,pos
great,?,?,?,pos
?,?,?,?,pos
?,crazy,?,?,neg
fun,?,love,?,pos
?,?,love,?,pos
beautiful,?,?,?,pos
?,?,?,sucked,neg
?,?,love,?,pos
?,?,love,?,pos
?,?,?,?,neg
?,crazy,?,?,neg
?,?,?,?,pos
awesome,?,?,?,pos
profound,?,love,?,pos
loved,?,loved,?,pos
beautiful,?,?,?,pos
?,?,love,?,pos
?,?,love,?,pos
like,impossible,like,?,pos
?,impossible,love,?,pos
awesome,?,?,?,pos
worth,?,love,?,pos
awesome,?,?,?,pos
fun,?,love,?,pos
?,?,?,sucks,neg
?,?,?,sucked,neg
great,?,?,?,pos
?,?,?,?,neg
?,?,?,sucks,neg
?,?,?,suck,neg
?,absurd,?,?,neg
?,?,?,?,pos
?,?,?,sucked,neg
?,?,love,?,pos
?,?,?,?,pos
?,impossible,?,?,pos
?,?,?,?,neg
?,?,?,hate,neg
?,?,?,?,pos
?,?,?,sucked,neg
?,impossible,love,?,pos
worth,?,love,?,pos
?,?,love,?,pos
?,?,?,?,neg
?,?,love,?,pos
loved,?,loved,?,pos
awesome,?,?,?,pos
awesome,?,?,?,pos
like,impossible,like,bitch,pos
?,?,?,sucks,neg
excellent,?,?,?,pos
?,depressing,?,depressing,neg
?,depressing,?,depressing,neg
?,?,?,?,pos
beautiful,?,?,?,pos
awesome,?,?,?,pos
awesome,?,?,?,pos
great,?,?,?,pos
?,?,?,?,pos
?,?,?,?,pos
?,aching,?,aching,neg
good,?,like,?,pos
?,impossible,love,?,pos
cool,stupid,cool,?,neg
?,stupid,?,?,neg
?,crazy,?,?,neg
?,?,?,sucks,neg
great,?,?,?,pos
awesome,?,?,?,pos
loved,?,loved,?,pos
interesting,?,loved,?,pos
