adj_1,adj_2,verb_1,verb_2,negation,connector,polarity
?,?,?,sucks,no,and,neg
?,?,?,?,no,?,neg
like,impossible,like,?,no,as,pos
?,?,love,?,no,?,pos
?,?,?,?,no,?,neg
?,?,love,?,no,?,pos
fun,?,love,?,no,so,pos
awesome,?,?,?,no,so,pos
?,terrible,?,?,no,as,neg
?,terrible,?,?,no,as,neg
?,?,?,?,no,?,neg
better,stupid,better,hate,no,because,neg
?,hated,?,hated,no,?,neg
?,aching,?,aching,no,as,neg
?,depressing,?,depressing,no,as,neg
?,delayed,?,sucks,no,but,neg
like,?,like,?,no,?,pos
awesome,?,?,?,no,so,pos
?,?,liked,?,no,?,pos
awesome,?,?,?,yes,so,pos
like,impossible,like,bitch,no,that,pos
?,?,adore,?,no,so,pos
cool,stupid,cool,?,no,and,neg
awesome,?,?,?,no,so,pos
?,?,?,hate,no,so,neg
better,stupid,better,hate,no,because,neg
better,stupid,better,hate,no,because,neg
?,?,?,hate,no,?,neg
?,?,?,?,no,?,pos
?,stupid,?,?,no,?,neg
like,impossible,like,?,no,as,pos
?,?,?,suck,no,or,neg
right,?,right,?,no,because,pos
?,?,?,?,no,as,pos
?,stupid,?,hate,no,and,neg
?,boring,?,boring,no,as,neg
?,?,?,?,no,?,pos
?,?,?,sucked,no,?,neg
worth,?,love,?,no,or,pos
?,?,?,?,no,?,pos
?,?,?,sucks,no,?,neg
?,impossible,love,?,no,for,pos
?,depressing,?,depressing,no,as,neg
?,?,?,?,no,?,pos
well,impossible,well,?,no,as,pos
great,?,?,?,no,if,pos
awesome,?,?,?,no,so,pos
great,?,?,?,no,for,pos
?,?,love,?,no,?,pos
?,?,?,hate,no,that,neg
?,?,?,?,no,?,pos
?,?,love,?,no,?,pos
?,?,love,?,no,?,pos
?,horrible,?,?,no,or,neg
?,?,?,sucked,no,?,neg
?,?,?,sucked,no,so,neg
loved,?,loved,?,no,?,pos
?,stupid,?,?,no,as,neg
?,?,love,?,no,?,pos
?,?,love,?,no,?,pos
?,?,?,suck,no,and,neg
?,horrible,?,?,no,or,neg
?,?,love,?,no,?,pos
?,?,?,?,no,?,pos
?,?,love,?,no,?,pos
?,boring,?,boring,no,or,neg
?,?,?,hate,no,?,neg
?,?,?,slap,no,that,neg
awesome,?,?,?,no,that,pos
awesome,?,?,?,no,so,pos
worth,?,love,?,no,or,pos
?,horrible,?,?,no,or,neg
?,?,?,sucks,no,?,neg
beautiful,?,?,?,no,as,pos
?,?,?,suck,no,or,neg
?,stupid,?,hate,no,and,neg
?,?,love,?,no,?,pos
?,?,love,fall,no,as,pos
?,?,?,sucked,no,?,neg
like,?,like,?,no,or,pos
awesome,?,?,?,no,so,pos
awesome,?,?,?,no,that,pos
?,stupid,?,hate,no,and,neg
good,?,like,?,no,that,pos
cool,stupid,cool,?,no,and,neg
worth,?,love,?,no,or,pos
like,?,like,?,no,?,pos
great,?,?,?,no,that,pos
?,stupid,?,?,no,?,neg
like,impossible,like,bitch,no,that,pos
cool,stupid,cool,?,no,and,neg
right,?,right,?,no,because,pos
awesome,?,?,?,no,so,pos
?,depressing,?,depressing,no,as,neg
awesome,?,?,?,yes,so,pos
awesome,?,?,?,no,so,pos
?,?,?,suck,no,or,neg
great,?,love,?,no,because,pos
?,?,love,?,no,?,pos
?,?,?,suck,no,?,neg
awesome,?,?,?,yes,so,pos
?,?,love,?,no,as,pos
excellent,?,?,?,no,as,pos
?,?,love,?,no,that,pos
awesome,?,?,?,no,so,pos
?,?,?,?,no,?,neg
like,?,like,?,no,?,pos
?,impossible,love,?,no,for,pos
great,?,?,?,no,that,pos
?,?,?,?,no,?,pos
?,crazy,?,?,yes,?,neg
fun,?,love,?,no,so,pos
?,?,love,?,no,?,pos
beautiful,?,?,?,no,as,pos
?,?,?,sucked,yes,for,neg
?,?,love,?,no,?,pos
?,?,love,?,no,?,pos
?,?,?,?,no,?,neg
?,crazy,?,?,yes,?,neg
?,?,?,?,no,?,pos
awesome,?,?,?,no,so,pos
profound,?,love,?,no,or,pos
loved,?,loved,?,no,?,pos
beautiful,?,?,?,no,as,pos
?,?,love,?,no,?,pos
?,?,love,?,no,?,pos
like,impossible,like,?,no,as,pos
?,impossible,love,?,no,for,pos
awesome,?,?,?,no,that,pos
worth,?,love,?,no,or,pos
awesome,?,?,?,no,so,pos
fun,?,love,?,no,so,pos
?,?,?,sucks,no,and,neg
?,?,?,sucked,no,?,neg
great,?,?,?,no,that,pos
?,?,?,?,no,?,neg
?,?,?,sucks,no,that,neg
?,?,?,suck,no,?,neg
?,absurd,?,?,no,as,neg
?,?,?,?,no,so,pos
?,?,?,sucked,no,?,neg
?,?,love,?,no,?,pos
?,?,?,?,no,?,pos
?,impossible,?,?,no,?,pos
?,?,?,?,no,and,neg
?,?,?,hate,no,?,neg
?,?,?,?,no,?,pos
?,?,?,sucked,no,?,neg
?,impossible,love,?,no,for,pos
worth,?,love,?,no,or,pos
?,?,love,?,no,?,pos
?,?,?,?,no,and,neg
?,?,love,?,no,that,pos
loved,?,loved,?,no,?,pos
awesome,?,?,?,no,so,pos
awesome,?,?,?,no,so,pos
like,impossible,like,bitch,no,that,pos
?,?,?,sucks,no,and,neg
excellent,?,?,?,no,as,pos
?,depressing,?,depressing,no,as,neg
?,depressing,?,depressing,no,?,neg
?,?,?,?,no,as,pos
beautiful,?,?,?,no,as,pos
awesome,?,?,?,no,so,pos
awesome,?,?,?,yes,so,pos
great,?,?,?,no,that,pos
?,?,?,?,no,as,pos
?,?,?,?,no,as,pos
?,aching,?,aching,no,as,neg
good,?,like,?,no,that,pos
?,impossible,love,?,no,for,pos
cool,stupid,cool,?,no,and,neg
?,stupid,?,?,no,?,neg
?,crazy,?,?,yes,?,neg
?,?,?,sucks,no,and,neg
great,?,?,?,no,that,pos
awesome,?,?,?,no,so,pos
loved,?,loved,?,no,?,pos
interesting,?,loved,?,no,if,pos
?,crazy,?,?,yes,?,neg
awesome,?,?,?,no,so,pos
?,?,love,?,no,but,pos
worth,?,love,?,no,or,pos
?,stupid,?,hate,no,and,neg
?,crazy,?,?,yes,?,neg
beautiful,?,?,?,no,as,pos
awesome,?,?,?,no,so,pos
?,?,?,suck,no,?,neg
?,stupid,?,?,no,?,neg
?,?,?,hate,no,?,neg
?,?,?,sucks,no,as,neg
like,?,like,?,no,?,pos
?,?,love,?,no,?,pos
beautiful,?,?,?,no,as,pos
?,aching,?,aching,no,as,neg
