@relation model_4

@attribute adj_1 {like,fun,loved,glad,awesome,interesting,well,amazing,exciting,beautiful,magical,clean,great,better,popular,sexy,good,impressive,worth,cute,enough,excellent,perfect,delicious,pretty,best,hot,dedicated,right,cool,adorable,nice,proud,lucky,prize,relaxed,profound,hilarious,classic,favorite,fabulous,brilliant,important,romantic,honest,supportive,sweeping,happy,coherent,wonderful,correct,easy,decent,grand,supporting,exquisite,magic}
@attribute adj_2 {crazy,bitter,lost,bad,vice,hated,impossible,picky,fell,awful,messy,evil,wrong,horrible,slow,useless,depressing,shameful,stupid,funny,disappointing,idiot,worse,crack,absurd,boring,worthless,mad,ridiculous,mindless,sorry,terrible,sad,afraid,defensive,mocking,disliked,cheap,aching,tired,lame,heartbreaking,hung,crash,inaccurate,intense,bored,tragic,sarcastic,unexpected,unable,obnoxious,damn,corrupting,loose,ashamed,delayed,unpredictable,sick,hard,ruined,scared,pale,fat,desperate,lousy,loser,invisible,retarded,cold,dumb,atrocious,queer,frenzied,lazy,worst,rife,disappointed,silly}
@attribute verb_1 {like,liked,wow,work,well,exciting,love,loved,clean,worth,enjoyed,award,enjoy,better,enjoying,right,cool,win,favor,admiring,excited,benefit,adore,prize,appeal,relaxed,humor,honor,respect,sweeping,encourage,correct,thank,supporting,won}
@attribute verb_2 {suck,sucked,lost,hate,sucks,hated,hedge,ignore,fell,depressing,slow,miss,hating,boring,devastate,blame,slap,cry,dislike,bitch,mocking,disliked,biased,aching,tired,despised,lie,fault,hung,crash,refusing,twist,shame,alarm,bored,decline,despise,break,damn,corrupting,loose,fall,ruined,rant,scared,pale,drain,joke,freak,struggle,gasp,lapse,disappointed,ruining}
@attribute negation {no,yes}
@attribute connector {as,so,that,or,and,but,though,if,for,then,whether,'on the other hand',because,'even though','because of',yet,than,both,still,'in addition to',nor,unless,'just as',instead,else}
@attribute polarity {pos,neg}

@data
like,?,like,?,no,as,pos
fun,?,?,?,no,so,neg
?,?,?,suck,no,that,neg
?,crazy,?,?,yes,?,neg
?,?,?,suck,no,or,neg
loved,bitter,liked,?,no,so,pos
?,?,?,sucked,yes,so,neg
like,?,like,sucked,no,?,neg
glad,lost,?,lost,no,that,neg
like,bad,like,hate,no,that,pos
?,vice,?,sucks,no,and,neg
?,hated,?,hated,no,but,neg
awesome,impossible,wow,hedge,yes,so,pos
interesting,?,work,sucks,no,so,neg
?,?,?,?,no,?,pos
well,?,well,?,no,?,neg
?,?,?,suck,no,though,neg
awesome,impossible,?,hedge,no,so,pos
?,?,?,?,yes,though,pos
?,?,?,?,no,if,neg
amazing,?,?,?,yes,that,pos
exciting,?,exciting,?,no,?,pos
like,picky,like,?,yes,but,pos
?,?,?,hate,no,for,neg
?,bad,?,sucked,no,then,neg
beautiful,?,?,ignore,no,if,pos
like,fell,like,fell,no,that,neg
?,?,love,?,no,for,pos
loved,impossible,loved,?,no,for,pos
magical,?,?,?,no,or,pos
?,?,?,suck,no,?,neg
?,awful,?,?,no,so,neg
clean,messy,clean,depressing,no,so,neg
?,evil,?,hate,no,that,neg
?,?,?,?,no,whether,neg
well,?,well,?,no,that,neg
great,?,?,?,no,as,pos
?,wrong,?,?,yes,as,neg
?,horrible,?,?,no,or,neg
awesome,?,?,?,no,that,pos
loved,impossible,loved,?,no,?,pos
?,slow,?,slow,no,and,neg
great,?,love,hate,yes,as,neg
?,useless,?,?,no,?,neg
better,?,work,sucked,no,as,neg
?,impossible,?,miss,no,?,pos
?,depressing,?,depressing,yes,that,neg
popular,shameful,?,hate,no,that,neg
like,stupid,like,hate,no,so,neg
sexy,?,?,?,no,that,pos
?,?,?,hate,no,so,neg
like,?,like,?,no,and,pos
?,funny,?,hate,no,?,neg
?,hated,?,hated,no,?,neg
good,?,?,?,no,so,pos
